"Pathogen","Taxonomy ID","Uniprot ID","Pathogen Protein","Uniprot ID","Human Protein","Experimental Method","Pubmed ID"
"Human herpesvirus 1","10298","Q25BW6","Q25BW6_HHV1 ","P63172","DYLT1_HUMAN ","affinity chromatography technology","15117959"
"Human herpesvirus 1","10298","Q25BW6","Q25BW6_HHV1 ","Q9UPY8","MARE3_HUMAN ","affinity chromatography technology","15117959"
"Human herpesvirus 1","10298","Q25BY8","Q25BY8_HHV1 ","Q13547","HDAC1_HUMAN ","affinity chromatography technology","20585571"
"Human herpesvirus 1","10298","F8REB8","F8REB8_HHV1 ","P55072","TERA_HUMAN ","affinity chromatography technology","12663780"
"Human herpesvirus 1","10298","G8HBG2","G8HBG2_HHV1 ","O43513","MED7_HUMAN ","affinity chromatography technology","10353252"
"Human herpesvirus 1","10298","G8HBG2","G8HBG2_HHV1 ","P51610","HCFC1_HUMAN ","affinity chromatography technology","10629049"
"Human herpesvirus 1","10298","G8HBG2","G8HBG2_HHV1 ","Q00403","TF2B_HUMAN ","affinity chromatography technology","8800208"
"Human herpesvirus 1","10298","G8HBG2","G8HBG2_HHV1 ","Q71SY5","MED25_HUMAN ","affinity chromatography technology","17135252"
"Human herpesvirus 1 STRAIN 17","10299","P06492","VP16_HHV11 ","Q9NVC6","MED17_HUMAN ","affinity chromatography technology","14576168"
"Human herpesvirus 1 STRAIN 17","10299","P06492","VP16_HHV11 ","Q96G25","MED8_HUMAN ","affinity chromatography technology","14576168"
"Human herpesvirus 1 STRAIN 17","10299","P06492","VP16_HHV11 ","Q9NX70","MED29_HUMAN ","affinity chromatography technology","14576168"
"Human herpesvirus 1 STRAIN 17","10299","B9VQG6","B9VQG6_HHV1 ","O94776","MTA2_HUMAN ","affinity chromatography technology","20585571"
"Human herpesvirus 1 STRAIN 17","10299","B9VQG6","B9VQG6_HHV1 ","Q13547","HDAC1_HUMAN ","affinity chromatography technology","20585571"
"Human herpesvirus 1 STRAIN 17","10299","B9VQJ7","B9VQJ7_HHV1 ","P55072","TERA_HUMAN ","affinity chromatography technology","12663780"
"Human herpesvirus 1 STRAIN 17","10299","P10238","ICP27_HHV11 ","P67870","CSK2B_HUMAN ","affinity chromatography technology","10506147"
"Human herpesvirus 1 STRAIN 17","10299","P10238","ICP27_HHV11 ","P61978","HNRPK_HUMAN ","affinity chromatography technology","10506147"
"Human herpesvirus 1 STRAIN 17","10299","P08393","ICP0_HHV11 ","P19838","NFKB1_HUMAN ","affinity chromatography technology","24067962"
"Human herpesvirus 1 STRAIN 17","10299","P08393","ICP0_HHV11 ","P22681","CBL_HUMAN ","affinity chromatography technology","15824310"
"Human herpesvirus 1 STRAIN 17","10299","P04293","DPOL_HHV11 ","Q9NVP2","ASF1B_HUMAN ","affinity chromatography technology","20133788"
"Human herpesvirus 1 STRAIN 17","10299","P04296","DNBI_HHV11 ","O60264","SMCA5_HUMAN ","affinity chromatography technology","15140983"
"Human herpesvirus 1 STRAIN 17","10299","P04296","DNBI_HHV11 ","P12956","XRCC6_HUMAN ","affinity chromatography technology","15140983"
"Human herpesvirus 1 STRAIN 17","10299","P04296","DNBI_HHV11 ","P13010","XRCC5_HUMAN ","affinity chromatography technology","15140983"
"Human herpesvirus 1 STRAIN 17","10299","P04296","DNBI_HHV11 ","P27694","RFA1_HUMAN ","affinity chromatography technology","15140983"
"Human herpesvirus 1 STRAIN 17","10299","P04296","DNBI_HHV11 ","P51531","SMCA2_HUMAN ","affinity chromatography technology","15140983"
"Human herpesvirus 1 STRAIN 17","10299","P04296","DNBI_HHV11 ","P51532","SMCA4_HUMAN ","affinity chromatography technology","15140983"
"Human herpesvirus 1 STRAIN 17","10299","P04296","DNBI_HHV11 ","P78527","PRKDC_HUMAN ","affinity chromatography technology","15140983"
"Human herpesvirus 1 STRAIN 17","10299","P04296","DNBI_HHV11 ","Q14191","WRN_HUMAN ","affinity chromatography technology","15140983"
"Human herpesvirus 1 STRAIN 17","10299","P04296","DNBI_HHV11 ","Q92769","HDAC2_HUMAN ","affinity chromatography technology","15140983"
"Human herpesvirus 1 STRAIN 17","10299","P04296","DNBI_HHV11 ","Q92922","SMRC1_HUMAN ","affinity chromatography technology","15140983"
"Human herpesvirus 1 STRAIN 17","10299","P04296","DNBI_HHV11 ","Q969G3","SMCE1_HUMAN ","affinity chromatography technology","15140983"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","O14654","IRS4_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","O14734","ACOT8_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","P05141","ADT2_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","P07437","TBB5_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","P07900","HS90A_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","P08238","HS90B_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","P12236","ADT3_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","P17987","TCPA_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","P23396","RS3_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","P24666","PPAC_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","P31943","HNRH1_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","P40227","TCPZ_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","P49368","TCPG_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","P50990","TCPQ_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","P50991","TCPD_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","P55072","TERA_HUMAN ","affinity chromatography technology","12663780"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","P55795","HNRH2_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","P62249","RS16_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","P62269","RS18_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","P68104","EF1A1_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","P78371","TCPB_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","Q05639","EF1A2_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","Q06830","PRDX1_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","Q08380","LG3BP_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","Q13162","PRDX4_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","Q16543","CDC37_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","Q6NSJ2","PHLB3_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","Q8NF91","SYNE1_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P04413","US03_HHV11 ","Q9BUJ2","HNRL1_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P08393","ICP0_HHV11 ","P06241","FYN_HUMAN ","affinity chromatography technology","16537602"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","O14654","IRS4_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","O14734","ACOT8_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P05141","ADT2_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P07437","TBB5_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P07900","HS90A_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P08238","HS90B_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P12236","ADT3_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P17987","TCPA_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P23396","RS3_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P24666","PPAC_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P31943","HNRH1_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P40227","TCPZ_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P49368","TCPG_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P50990","TCPQ_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P50991","TCPD_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P55072","TERA_HUMAN ","affinity chromatography technology","12663780"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P55795","HNRH2_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P62249","RS16_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P62269","RS18_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P68104","EF1A1_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","P78371","TCPB_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","Q05639","EF1A2_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","Q06830","PRDX1_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 1 STRAIN 17","10299","P06484","GG_HHV11 ","Q08380","LG3BP_HUMAN ","affinity chromatography technology","22810585"
