"Pathogen","Taxonomy ID","Uniprot ID","Pathogen Protein","Uniprot ID","Human Protein","Experimental Method","Pubmed ID"
"Human herpesvirus 1","10298","Q25BW6","Q25BW6_HHV1 ","P63172","DYLT1_HUMAN ","affinity chromatography technology","15117959"
"Human herpesvirus 1","10298","Q25BW6","Q25BW6_HHV1 ","Q9UPY8","MARE3_HUMAN ","affinity chromatography technology","15117959"
"Human herpesvirus 1","10298","Q25BY8","Q25BY8_HHV1 ","Q13547","HDAC1_HUMAN ","affinity chromatography technology","20585571"
"Human herpesvirus 1","10298","F8REB8","F8REB8_HHV1 ","P55072","TERA_HUMAN ","affinity chromatography technology","12663780"
"Human herpesvirus 1","10298","G8HBG2","G8HBG2_HHV1 ","O43513","MED7_HUMAN ","affinity chromatography technology","10353252"
"Human herpesvirus 1","10298","G8HBG2","G8HBG2_HHV1 ","P51610","HCFC1_HUMAN ","affinity chromatography technology","10629049"
"Human herpesvirus 1","10298","G8HBG2","G8HBG2_HHV1 ","Q00403","TF2B_HUMAN ","affinity chromatography technology","8800208"
"Human herpesvirus 1","10298","G8HBG2","G8HBG2_HHV1 ","Q71SY5","MED25_HUMAN ","affinity chromatography technology","17135252"
"Human herpesvirus 2","10310","Q69113","Q69113_HHV2 ","Q00403","TF2B_HUMAN ","affinity chromatography technology","7642611"
"Human herpesvirus 2 STRAIN HG52","10315","P28282","UL56_HHV2H ","Q96J02","ITCH_HUMAN ","affinity chromatography technology","20682038"
"Human herpesvirus 2 STRAIN HG52","10315","P28282","UL56_HHV2H ","P46934","NEDD4_HUMAN ","affinity chromatography technology","18353951"
"Human herpesvirus 5 (Human cytomegalovirus)","10359","Q6SWV3","Q6SWV3_HCMV ","P06400","RB_HUMAN ","affinity chromatography technology","9343168"
"Human herpesvirus 5 (Human cytomegalovirus) STRAIN AD169","10360","B8YEH0","B8YEH0_HCMV ","Q9BUN8","DERL1_HUMAN ","affinity chromatography technology","15215855"
"Human herpesvirus 5 (Human cytomegalovirus) STRAIN AD169","10360","Q7M6R1","UL21A_HCMVA ","P30260","CDC27_HUMAN ","affinity chromatography technology","22792066"
"Human herpesvirus 5 (Human cytomegalovirus) STRAIN AD169","10360","Q7M6R1","UL21A_HCMVA ","Q9UJX2","CDC23_HUMAN ","affinity chromatography technology","22792066"
"Human herpesvirus 5 (Human cytomegalovirus) STRAIN AD169","10360","Q7M6R1","UL21A_HCMVA ","Q9UJX3","APC7_HUMAN ","affinity chromatography technology","22792066"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","F5HEZ4","VFLIP_HHV8P ","Q12933","TRAF2_HUMAN ","affinity chromatography technology","16311516"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","F5HEZ4","VFLIP_HHV8P ","Q12933","TRAF2_HUMAN ","affinity chromatography technology","22525270"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q9QR71","ORF73_HHV8P ","P0CG48","UBC_HUMAN ","affinity chromatography technology","17069461"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q9QR71","ORF73_HHV8P ","P17096","HMGA1_HUMAN ","affinity chromatography technology","22379092"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q9QR71","ORF73_HHV8P ","P23025","XPA_HUMAN ","affinity chromatography technology","22379092"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q9QR71","ORF73_HHV8P ","P30153","2AAA_HUMAN ","affinity chromatography technology","22379092"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q9QR71","ORF73_HHV8P ","P62877","RBX1_HUMAN ","affinity chromatography technology","17069461"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q9QR71","ORF73_HHV8P ","Q15257","PTPA_HUMAN ","affinity chromatography technology","22379092"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q9QR71","ORF73_HHV8P ","Q15370","ELOB_HUMAN ","affinity chromatography technology","17069461"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q9QR71","ORF73_HHV8P ","Q93034","CUL5_HUMAN ","affinity chromatography technology","17069461"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q9QR71","ORF73_HHV8P ","Q969H0","FBXW7_HUMAN ","affinity chromatography technology","17909182"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","F5HIC6","VIRF3_HHV8P ","Q99471","PFD5_HUMAN ","affinity chromatography technology","17728244"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q9QR71","ORF73_HHV8P ","P09429","HMGB1_HUMAN ","affinity chromatography technology","22379092"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q9QR71","ORF73_HHV8P ","P27694","RFA1_HUMAN ","affinity chromatography technology","22379092"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q9QR71","ORF73_HHV8P ","Q93009","UBP7_HUMAN ","affinity chromatography technology","22514345"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HR82","KBZIP_HHV8P ","Q92769","HDAC2_HUMAN ","affinity chromatography technology","22416134"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","F5HIC6","VIRF3_HHV8P ","Q92793","CBP_HUMAN ","affinity chromatography technology","14668346"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HR82","KBZIP_HHV8P ","Q92793","CBP_HUMAN ","affinity chromatography technology","15467747"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q9QR71","ORF73_HHV8P ","Q92993","KAT5_HUMAN ","affinity chromatography technology","22379092"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HR75","ICP27_HHV8P ","Q13838","DX39B_HUMAN ","affinity chromatography technology","18974867"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HR82","KBZIP_HHV8P ","Q13547","HDAC1_HUMAN ","affinity chromatography technology","22416134"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q9QR71","ORF73_HHV8P ","P53041","PPP5_HUMAN ","affinity chromatography technology","22379092"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q9QR71","ORF73_HHV8P ","P54274","TERF1_HUMAN ","affinity chromatography technology","22379092"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HR75","ICP27_HHV8P ","P00739","HPTR_HUMAN ","affinity chromatography technology","18974867"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HR75","ICP27_HHV8P ","P38919","IF4A3_HUMAN ","affinity chromatography technology","18974867"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HR75","ICP27_HHV8P ","P84103","SRSF3_HUMAN ","affinity chromatography technology","18974867"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HR75","ICP27_HHV8P ","Q13769","THOC5_HUMAN ","affinity chromatography technology","18974867"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q9QR71","ORF73_HHV8P ","Q15369","ELOC_HUMAN ","affinity chromatography technology","17069461"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","F5HIC6","VIRF3_HHV8P ","Q14653","IRF3_HUMAN ","affinity chromatography technology","14668346"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q9QR71","ORF73_HHV8P ","Q99873","ANM1_HUMAN ","affinity chromatography technology","22179613"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q9QR71","ORF73_HHV8P ","Q9BRQ0","PYGO2_HUMAN ","affinity chromatography technology","22379092"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q9QR71","ORF73_HHV8P ","P15927","RFA2_HUMAN ","affinity chromatography technology","22379092"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","F5HEZ4","VFLIP_HHV8P ","O14920","IKKB_HUMAN ","affinity chromatography technology","11830587"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","F5HEZ4","VFLIP_HHV8P ","O15111","IKKA_HUMAN ","affinity chromatography technology","11830587"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","F5HEZ4","VFLIP_HHV8P ","O43318","M3K7_HUMAN ","affinity chromatography technology","21159881"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HR75","ICP27_HHV8P ","Q09161","NCBP1_HUMAN ","affinity chromatography technology","18974867"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","F5HIC6","VIRF3_HHV8P ","Q09472","EP300_HUMAN ","affinity chromatography technology","14668346"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HR75","ICP27_HHV8P ","Q86V81","THOC4_HUMAN ","affinity chromatography technology","18974867"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","F5HCV3","ORF50_HHV8P ","P09874","PARP1_HUMAN ","affinity chromatography technology","22300411"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","F5HCV3","ORF50_HHV8P ","Q06330","SUH_HUMAN ","affinity chromatography technology","19939918"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","F5HEZ4","VFLIP_HHV8P ","Q13546","RIPK1_HUMAN ","affinity chromatography technology","11830587"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","F5HF68","VIRF1_HHV8P ","Q09472","EP300_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","F5HF68","VIRF1_HHV8P ","Q14653","IRF3_HUMAN ","affinity chromatography technology","11314014"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","F5HF68","VIRF1_HHV8P ","Q92793","CBP_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","F5HF68","VIRF1_HHV8P ","Q92985","IRF7_HUMAN ","affinity chromatography technology","11314014"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","F5HEZ4","VFLIP_HHV8P ","Q9Y6K9","NEMO_HUMAN ","affinity chromatography technology","11830587"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","F5HEZ4","VFLIP_HHV8P ","Q9Y6K9","NEMO_HUMAN ","affinity chromatography technology","16311516"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","F5HEZ4","VFLIP_HHV8P ","Q9Y6K9","NEMO_HUMAN ","affinity chromatography technology","22525270"
